-- FOSSILES    -- archology
    archeology_book         = {name = 'archeology_book',    label = 'Archeology Book',      weight = 10, type = 'item', image = 'archeology_book.png', unique = true, 	useable = true, description = 'Book for all your archeology needs'}, 
    archeology_brush         = {name = 'archeology_brush',    label = 'Archeology Brush',      weight = 10, type = 'item', image = 'archeology_brush.png', unique = true, 	useable = true, description = 'Tool for archaeology sites'}, 
    bone_shards         = {name = 'bone_shards',    label = 'Bone Shards',      weight = 10, type = 'item', image = 'bone_shards.png', unique = false, 	useable = true, description = 'Archology Collectible'}, 
    arrowhead_bone			= {name = 'arrowhead_bone',		label = 'Arrowhead Bone',	weight = 100, type = 'item', image = 'fossil_arrowhead_bone.png',   unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    dinosaur_egg			= {name = 'dinosaur_egg',		label = 'Dinosaur Egg Fossil',		weight = 300, type = 'item', image = 'fossil_dinosaur_egg.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    finger_bone			    = {name = 'finger_bone',		label = 'Finger Bone Fossil',			weight = 200, type = 'item', image = 'fossil_finger_bone.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_bivalve			= {name = 'fossil_bivalve',		label = 'Bivalve Fossil',		            weight = 500, type = 'item', image = 'fossil_bivalve.png',	        unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_brachiopod		= {name = 'fossil_brachiopod',	label = 'Brachiopod Fossil',	            weight = 1000, type = 'item', image = 'fossil_brachiopod.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_brow_horn		= {name = 'fossil_brow_horn',	label = 'Brow Horn Fossil',		    weight = 1200, type = 'item', image = 'fossil_brow_horn.png',		unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_cephalopod		= {name = 'fossil_cephalopod',	label = 'Cephalopod Fossil',	            weight = 2000, type = 'item', image = 'fossil_cephalopod.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_coral			= {name = 'fossil_coral',		label = 'Coral Fossil Fossil',			        weight = 1400, type = 'item', image = 'fossil_agatized_coral.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_neo			    = {name = 'fossil_neo',		    label = 'Neo Fossil',			            weight = 2400, type = 'item', image = 'fossil_neospirifer.png',		unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_old			    = {name = 'fossil_old',		    label = 'Old Fossil',			        weight = 1000, type = 'item', image = 'fossil_tully_monster.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_pet_wood			= {name = 'fossil_pet_wood',	label = 'Wood Fossil',		            weight = 800, type = 'item', image = 'fossil_common_petrified_wood.png',	        unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_pet_wood_rainbow	= {name = 'fossil_pet_wood_rainbow',	    label = 'Wood Rainbow Fossil',		weight = 1000, type = 'item', image = 'fossil_rainbow_petrified_wood.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_pet_wood_yellow_cat	= {name = 'fossil_pet_wood_yellow_cat',	label = 'Wood Yellow Cat Fossil',	weight = 1000, type = 'item', image = 'fossil_yellowcat_petrified_wood.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_sea_lily			= {name = 'fossil_sea_lily',		label = 'Sea Fossil',		weight = 500, type = 'item', image = 'fossil_sea_lily.png',		    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_sea_scorpion		= {name = 'fossil_sea_scorpion',	label = 'Sea Scorpion Fossil',	weight = 500, type = 'item', image = 'fossil_sea_scorpion.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_stone			= {name = 'fossil_stone',		    label = 'Stone Fossil',			weight = 500, type = 'item', image = 'fossil_petoskey_stone.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_tail_spike		= {name = 'fossil_tail_spike',		label = 'Tail Spike Fossil',	weight = 100, type = 'item', image = 'fossil_tail_spike.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_toe_claw			= {name = 'fossil_toe_claw',		label = 'Claw Fossil',		    weight = 120, type = 'item', image = 'fossil_toe_sickle_claw.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_tooth_mega		= {name = 'fossil_tooth_mega',		label = 'Mega Tooth Fossil',	    weight = 80, type = 'item', image = 'fossil_tooth_upper.png',	    unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_tooth_serrated	= {name = 'fossil_tooth_serrated',	label = 'Serrated Tooth v',  weight = 40, type = 'item', image = 'fossil_tooth_serrated.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_tooth_trex		= {name = 'fossil_tooth_trex',		label = 'Trex Tooth Fossil',	    weight = 40, type = 'item', image = 'fossil_tooth_front.png',		unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_trilobit			= {name = 'fossil_trilobit',		label = 'Trilobit Fossil',		    weight = 400, type = 'item', image = 'fossil_isotelus_trilobite.png',		unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
    fossil_trilobite_crypto	= {name = 'fossil_trilobite_crypto',label = 'Trilobite crypto Fossil',	weight = 600, type = 'item', image = 'fossil_cryptolithus_trilobite.png',	unique = false,	useable = true,	shouldClose = true, description = 'Archology Collectible'},
